crisco2012/NOM	1	NOM	crisco2012	1.633987E-4	1.6228862287215349	0.6161861394238168	2.651774961634848E-4	1.0068401267522782E-4
mixer/VER:infi	1	VER:infi	mixer	1.633987E-4	16.16151071201299	0.06187540371808753	0.0026407698019639218	1.0110360382436033E-5
Bonjour/NOM	1	NOM	bonjour	1.633987E-4	0.395925350988716	2.5257286443082556	6.469368670750583E-5	4.1270077102920495E-4
séchée/ADJ	1	ADJ	séchée	1.633987E-4	11.993052337607995	0.08338160893905089	0.0019596491324902422	1.362444630635552E-5
sur4/NOM	2	NOM	sur4	3.267974E-4	24.49659826160199	0.04082199452025481	0.008005424504281754	1.3340521477969978E-5
MAMWEISS/NAM	1	NAM	MAMWEISS	1.633987E-4	0.8305835450825374	1.203972804325936	1.3571626953362385E-4	1.967275882004312E-4
gratin/NOM	20	NOM	gratin	0.003267974	Infinity	0.0	Infinity	0.0
botte/NOM	1	NOM	botte	1.633987E-4	2.2407100588622755	0.4462871026284194	3.661291053689673E-4	7.292273133544895E-5
Laver/NAM	1	NAM	Laver	1.633987E-4	1.3624550375575797	0.7339691750802002	2.226233787068745E-4	1.1992960730357033E-4
ingrédient/NOM	2	NOM	ingrédient	3.267974E-4	Infinity	0.0	Infinity	0.0
yeux/NOM	34	NOM	�il	0.0055555557	4.024770704078002	0.24846135929849966	0.02235983778630754	0.001380340918415773
d’une/VER:subp	1	VER:subp	d’une	1.633987E-4	0.395925350988716	2.5257286443082556	6.469368670750583E-5	4.1270077102920495E-4
quasiment/ADV	1	ADV	quasiment	1.633987E-4	1.0913566679372915	0.9162907318741551	1.7832625818318674E-4	1.497207122323098E-4
d�sesp�rez/VER:pres	1	VER:pres	d�sesp�rer	1.633987E-4	0.35544046023668174	2.8134107167600364	5.8078508285211895E-5	4.5970764699732633E-4
goûts/NOM	4	NOM	goûts	6.535948E-4	2.5929408479004037	0.3856624808119844	0.0016947326302421495	2.5206698834701367E-4
Paupiettes/NOM	1	NOM	paupiette	1.633987E-4	0.47163948392575156	2.120263536200091	7.706527742107603E-5	3.46448300432741E-4
bardes/NOM	3	NOM	barde	4.901961E-4	2.406649414677971	0.41551544396166573	0.0011797301750023387	2.0368405320334642E-4
Jana/NAM	1	NAM	Jana	1.633987E-4	3.321099589363697	0.3011050927839216	5.4266334757848E-4	4.920018000856094E-5
sympas,variées/ADJ	1	ADJ	sympas,variées	1.633987E-4	0.25562221863533147	3.912023005428146	4.176833760852814E-5	6.392194641583756E-4
extra/ADJ	3	ADJ	extra	4.901961E-4	0.621334934559612	1.6094379124341	3.0457596632584727E-4	7.889401998110894E-4
haute/ADJ	1	ADJ	haut	1.633987E-4	11.993052337607995	0.08338160893905089	0.0019596491324902422	1.362444630635552E-5
zoizo/ADJ	1	ADJ	zoizo	1.633987E-4	0.47163948392575156	2.120263536200091	7.706527742107603E-5	3.46448300432741E-4
Lieu/NAM	1	NAM	Lieu	1.633987E-4	0.7423499090116472	1.3470736479666092	1.2129900831309409E-4	2.2011007968007718E-4
Mélangez/NAM	3	NAM	Mélangez	4.901961E-4	5.0390288220888095	0.198450938723838	0.0024701123137705156	9.727987767648275E-5
Lucie_328_NOM/Lucie	1	Lucie	328	1.633987E-4	0.7855671358628128	1.2729656758128876	1.2836064689545452E-4	2.0800093354667368E-4
11/NUM	4	NUM	11	6.535948E-4	5.735477907117637	0.17435338714477755	0.003748678481075233	1.139564655424975E-4
qu’il/NOM	2	NOM	qu’il	3.267974E-4	2.406649414677971	0.41551544396166573	7.864867599873202E-4	1.3578936477120061E-4
Home/ADJ	1	ADJ	Home	1.633987E-4	Infinity	0.0	Infinity	0.0
pyrex/NOM	1	NOM	pyrex	1.633987E-4	49.49831645250904	0.020202707317519497	0.00808796044287365	3.301096064142382E-6
girofle/NOM	6	NOM	girofle	9.803922E-4	4.024770704078002	0.24846135929849966	0.0039458538648027945	2.43589582345345E-4
chimay/NOM	1	NOM	chimay	1.633987E-4	3.0441023431381904	0.32850406697203605	4.974023583000604E-4	5.3677136707106445E-5
leurs/DET:POS	1	DET:POS	leur	1.633987E-4	6.630293331203166	0.15082288973458358	0.0010833812951774023	2.464426375437609E-5
Assez/ADV	3	ADV	assez	4.901961E-4	2.8036732520571284	0.35667494393873245	0.0013743497146389777	1.7484066913339512E-4
pratiques/VER:subp	3	VER:subp	pratiquer	4.901961E-4	Infinity	0.0	Infinity	0.0
Plats/NOM	16	NOM	plat	0.0026143792	49.49831645250904	0.020202707317519497	0.1294073670859784	5.2817537026278115E-5
épépinées/NOM	1	NOM	épépinées	1.633987E-4	1.7246776503115104	0.5798184952529422	2.818100818804858E-4	9.474158698208834E-5
goût/VER:futu	1	VER:futu	goût	1.633987E-4	2.2407100588622755	0.4462871026284194	3.661291053689673E-4	7.292273133544895E-5
Lorsque/KON	1	KON	lorsque	1.633987E-4	1.3624550375575797	0.7339691750802002	2.226233787068745E-4	1.1992960730357033E-4
Incontournables/ADJ	1	ADJ	incontournable	1.633987E-4	0.35544046023668174	2.8134107167600364	5.8078508285211895E-5	4.5970764699732633E-4
ça/NOM	12	NOM	ça	0.0019607844	Infinity	0.0	Infinity	0.0
g/NOM	89	NOM	g	0.014542484	24.49659826160199	0.04082199452025481	0.35624138152872753	5.93653190918709E-4
écrasez/VER:pres	1	VER:pres	écrasez	1.633987E-4	49.49831645250904	0.020202707317519497	0.00808796044287365	3.301096064142382E-6
pointes/NOM	2	NOM	pointe	3.267974E-4	5.0390288220888095	0.198450938723838	0.0016467414936286635	6.485324985909434E-5
