�goutt�es/VER:pper  �goutter
frise/VER:subp  friser
rapidement/ADV  rapidement
Potee/NOM  Potee
impossible/ADJ  impossible
diadème/NOM  diadème
laissé/VER:pper  laissé
in/ADJ  in
Intermédiaire/NOM  Intermédiaire
ail-ciboulette/ADJ  ail-ciboulette
culinaires/ADJ  culinaire
½/NOM  ½
passe/NOM  passe
10/10/2011/NUM  10/10/2011
Eplucher/NAM  Eplucher
folie/NOM  folie
Cassoulet/ADJ  Cassoulet
finesse/NOM  finesse
24h/NOM  24h
Même/NAM  Même
salée.Mélangez/VER:pres  salée.Mélangez
sponsorisés/ADJ  sponsorisés
Pilez/VER:pres  piler
tellement/ADV  tellement
transcendant/ADJ  transcendant
French/NAM  French
5/5/NUM  5/5
Passez/VER:pres  passer
beurre.Coupez/VER:pres  beurre.Coupez
Rôti/NOM  Rôti
terminer/VER:infi  terminer
Paupiettes/NAM  Paupiettes
sal�e.Pr�chauffez/VER:pres  sal�e.Pr�chauffez
suivant/VER:ppre  suivre
tradition/NOM  tradition
carotte/VER:impe  carotter
travail/NOM  travail
pique/NOM  pique
fraicheur/NOM  fraicheur
idem/ADV  idem
c.à/NOM  c.à
r�servant/VER:ppre  r�server
rechauffer/VER:infi  rechauffer
 /VER:pper   
speculoos/NOM  speculoos
carr�s/NOM  carr�
citronnee/ADJ  citronnee
01/NUM  01
parfaire/VER:infi  parfaire
2./PRO:PER  2.
Plats/NAM  Plats
sur-surlendemain/NOM  sur-surlendemain
région/NOM  région
serrée/ADJ  serrée
Placez/VER:impe  placer
lendemain/NOM  lendemain
maquereaux/NOM  maquereau
couscous/NOM  couscous
Recette/NAM  Recette
cartes/NOM  carte
croustiller/VER:infi  croustiller
vegetariennes/NOM  vegetariennes
C'/ADJ  C'
morceaux/NOM  morceau
trop/ADV  trop
-vous/PRO:PER  vous
goûter/VER:infi  goûter
gouter/VER:infi  gouter
Jouez/NAM  Jouez
Rhône/NAM  Rhône
Préparation/NAM  Préparation
Syrine77/NOM  Syrine77
Plaques/NOM  plaque
lors/ADV  lors
origan/NOM  origan
appropriée/ADJ  appropriée
sauter/VER:infi  sauter
déjeuner/VER:simp  déjeuner
27/02/2010/NUM  27/02/2010
d�licieuse/NOM  d�licieuse
l�gumes/NOM  l�gume
260/NUM  260
Ce/VER:cond  Ce
haricots/viandes/ADJ  haricots/viandes
Taillez/VER:pres  tailler
EXERCICES/NOM  exercice
hongroise/ADJ  hongrois
d�j�/VER:pper  d�j�
nécessaire/NOM  nécessaire
D�coupez/ABR  D�coupez
peur/NOM  peur
essuie-tout/NOM  essuie-tout
donc/ADV  donc
ENORMISSIME/ADJ  ENORMISSIME
Misez/VER:pres  miser
soigneusement/ADV  soigneusement
Cognac/NAM  Cognac
pouvez/VER:pres  pouvoir
reproduction/NOM  reproduction
compresse/NOM  compresse
sablée/ADJ  sablée
Avis/NOM  avis
salée/ADJ  salée
Avis/VER:pper  Avis
mani�re/NOM  mani�re
byriani/NOM  byriani
25/03/2012/NUM  25/03/2012
creme/NOM  creme
parfait/ADJ  parfait
omelette/NOM  omelette
ratatouille/NOM  ratatouille
d/VER:simp  d
diluée/VER:pres  diluée
